P = 250;
R = 2;
Ai = [1,41,208,492,597,699,932,1028,1478,1828,1895,1924,2102,2266,2321,2361,2404,2502,2518,2744,2772,2854,3137,3147,3289,3299,3579,3670,3965,4005,4070,4078,4094,4441,4524,4557,4712,4759,4765,4906,4939,5057,5105,5119,5259,5311,5487,5519,5613,5651,5656,5715,5717,5731,5886,6164,6199,6322,6589,6784,6925,7022,7169,7462,7508,7550,7658,7672,7702,7922,8025,8089,8354,8434,8522,8546,8670,8726,8798,9377,9457,9538,9666,9716,9811,9873,9888,10027,10060,10111,10173,10418,10458,10582,10822,10833,10844,10865,10947,10970,11087,11182,11680,11708,11837,11872,12021,12072,12339,12525,12587,12687,12819,12920,12988,13019,13367,13434,13483,13520,13529,13773,13774,13807,13810,13943,14047,14087,14110,14254,14278,14402,14424,14454,14498,14638,15068,15259,15302,15365,15515,15547,15679,15692,15798,15861,15957,16006,16132,16517,16679,16849,17033,17134,17207,17370,17480,17727,17729,17852,18142,18145,18323,18402,18552,18596,18605,18678,18706,18765,18887,18941,19123,19243,19406,19878,19979,20017,20052,20097,20289,20307,20442,20538,20606,20851,20918,21040,21304,21543,21549,21562,21657,21692,21714,21913,22212,22244,22580,22628,22930,23017,23024,23031,23415,23524,23595,23623,23724,23793,24200,24228,24320,24479,24696,24949,25006,25195,25306,25308,25682,25842,26061,26070,26106,26280,26326,26330,26345,26535,26563,26580,26686,26697,26708,26775,26796,26861,26906,27070,27347,27604,27741,27837,27926,27995,27998,28090,28125,28229];
Ei = [601,641,808,1092,1197,1299,1532,1628,2078,2428,2495,2524,2702,2866,2921,2961,3004,3102,3118,3344,3372,3454,3737,3747,3889,3899,4179,4270,4565,4605,4670,4678,4694,5041,5124,5157,5312,5359,5365,5506,5539,5657,5705,5719,5859,5911,6087,6119,6213,6251,6256,6315,6317,6331,6486,6764,6799,6922,7189,7384,7525,7622,7769,8062,8108,8150,8258,8272,8302,8522,8625,8689,8954,9034,9122,9146,9270,9326,9398,9977,10057,10138,10266,10316,10411,10473,10488,10627,10660,10711,10773,11018,11058,11182,11422,11433,11444,11465,11547,11570,11687,11782,12280,12308,12437,12472,12621,12672,12939,13125,13187,13287,13419,13520,13588,13619,13967,14034,14083,14120,14129,14373,14374,14407,14410,14543,14647,14687,14710,14854,14878,15002,15024,15054,15098,15238,15668,15859,15902,15965,16115,16147,16279,16292,16398,16461,16557,16606,16732,17117,17279,17449,17633,17734,17807,17970,18080,18327,18329,18452,18742,18745,18923,19002,19152,19196,19205,19278,19306,19365,19487,19541,19723,19843,20006,20478,20579,20617,20652,20697,20889,20907,21042,21138,21206,21451,21518,21640,21904,22143,22149,22162,22257,22292,22314,22513,22812,22844,23180,23228,23530,23617,23624,23631,24015,24124,24195,24223,24324,24393,24800,24828,24920,25079,25296,25549,25606,25795,25906,25908,26282,26442,26661,26670,26706,26880,26926,26930,26945,27135,27163,27180,27286,27297,27308,27375,27396,27461,27506,27670,27947,28204,28341,28437,28526,28595,28598,28690,28725,28829];
Ti = [1154,925,1274,1603,1718,1639,1766,1759,2475,2700,2817,3026,2995,3020,3190,3503,3462,3370,3501,3903,3918,3546,4307,4015,4217,4367,4396,4710,4714,4943,4971,5147,5018,5164,5656,5564,5457,5864,5857,5967,5821,6229,5911,6292,6007,6477,6356,6525,6529,6359,6458,6380,6569,6704,6834,7331,7180,7006,7444,7798,8080,8102,8201,8588,8303,8526,8726,8424,8817,8673,8990,9158,9080,9493,9483,9725,9363,9641,9600,10047,10353,10732,10447,10557,10910,10921,10861,10801,11131,11143,11202,11090,11638,11353,11679,11878,11527,11810,11632,11863,11759,12345,12378,12607,12954,13016,12795,12820,13347,13281,13522,13802,13857,13599,14046,13751,14205,14309,14337,14469,14485,14530,14590,14662,14962,14889,14955,14788,15290,15406,15056,15094,15243,15498,15552,15367,16222,16444,16027,16183,16258,16315,16692,16438,16642,17020,16669,16711,17160,17351,17837,17828,18103,18043,18008,18319,18522,18394,18886,18899,18821,19103,19512,19116,19699,19506,19798,19350,19800,19727,19810,19743,19820,20241,20360,20639,20679,20743,20728,20851,21258,21090,21324,21221,21803,21829,22057,22153,22375,22252,22738,22640,22724,22664,22797,22662,23178,23148,23404,23473,24105,24162,24152,23945,24437,24269,24404,24626,24625,24670,25164,25389,25309,25503,25600,26009,25846,26205,26249,26307,26637,26869,27241,27082,26776,26971,27524,27273,27236,27364,27761,27655,27371,27804,27699,27456,27723,27583,27796,28196,28221,28794,28759,28686,28835,28961,28687,29148,28870,29338];
Li = [2401,2441,2608,2892,2997,3099,3332,3428,3878,4228,4295,4324,4502,4666,4721,4761,4804,4902,4918,5144,5172,5254,5537,5547,5689,5699,5979,6070,6365,6405,6470,6478,6494,6841,6924,6957,7112,7159,7165,7306,7339,7457,7505,7519,7659,7711,7887,7919,8013,8051,8056,8115,8117,8131,8286,8564,8599,8722,8989,9184,9325,9422,9569,9862,9908,9950,10058,10072,10102,10322,10425,10489,10754,10834,10922,10946,11070,11126,11198,11777,11857,11938,12066,12116,12211,12273,12288,12427,12460,12511,12573,12818,12858,12982,13222,13233,13244,13265,13347,13370,13487,13582,14080,14108,14237,14272,14421,14472,14739,14925,14987,15087,15219,15320,15388,15419,15767,15834,15883,15920,15929,16173,16174,16207,16210,16343,16447,16487,16510,16654,16678,16802,16824,16854,16898,17038,17468,17659,17702,17765,17915,17947,18079,18092,18198,18261,18357,18406,18532,18917,19079,19249,19433,19534,19607,19770,19880,20127,20129,20252,20542,20545,20723,20802,20952,20996,21005,21078,21106,21165,21287,21341,21523,21643,21806,22278,22379,22417,22452,22497,22689,22707,22842,22938,23006,23251,23318,23440,23704,23943,23949,23962,24057,24092,24114,24313,24612,24644,24980,25028,25330,25417,25424,25431,25815,25924,25995,26023,26124,26193,26600,26628,26720,26879,27096,27349,27406,27595,27706,27708,28082,28242,28461,28470,28506,28680,28726,28730,28745,28935,28963,28980,29086,29097,29108,29175,29196,29261,29306,29470,29747,30004,30141,30237,30326,30395,30398,30490,30525,30629];
gi = [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];
hi = [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];
S = [
  [68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68],
  [90,68,68,68,90,68,68,68,68,90,68,90,68,68,68,90,90,68,68,90,68,90,68,68,90,68,68,90,68,68,90,68,90,90,68,68,68,68,68,90,68,90,68,90,68,68,68,90,90,68,68,68,68,68,68,68,90,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,90,90,68,68,68,90,90,68,68,68,90,68,68,90,68,68,68,68,90,68,68,68,90,90,68,90,68,68,68,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,68,68,68,68,68,68,68,90,90,90,68,68,68,68,68,68,90,90,90,90,68,68,90,68,68,90,68,68,90,68,68,68,68,68,68,90,90,90,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,90,68,68,68,68,68,68,68,90,90,68,68,90,68,90,68,68,68,68,90,68,68,68,68,68,68,68,68,68,90,68,68,90,90,90,68,68,68,68,90,90,68,68,90,68,68,68,68,68,68,68,90,90,68,68,90,68,68,90,68,68,68,90,68,68,90,90,68,68,68,90,68,68,90,68,90,68,90,90],
  [135,113,90,113,113,90,90,113,90,113,113,113,90,90,90,113,113,90,90,113,113,135,90,113,113,90,113,113,90,90,113,90,113,113,113,113,113,90,113,113,90,113,113,135,113,90,90,135,113,90,90,113,113,90,90,90,113,90,113,113,113,113,113,90,135,90,90,90,113,113,90,90,90,113,113,90,90,90,113,113,90,90,113,135,90,113,135,90,113,90,90,113,90,113,90,113,113,113,113,90,90,90,113,113,90,135,113,113,113,113,113,90,90,90,90,90,113,113,90,113,90,113,90,113,113,113,113,90,90,113,113,113,113,113,135,135,113,113,113,135,90,113,135,90,90,113,113,113,90,90,113,90,113,113,113,135,135,90,90,113,90,90,113,113,113,113,90,113,113,113,90,113,113,113,90,113,90,113,113,113,135,90,90,135,113,113,113,90,113,90,135,113,113,113,90,113,113,113,113,113,113,113,113,113,135,113,113,90,90,90,113,135,90,90,113,90,90,113,90,113,90,113,113,135,90,90,113,113,113,135,90,90,90,113,90,90,135,113,90,90,90,113,113,90,113,90,113,113,113,135],
  [90,68,68,68,90,68,68,68,68,90,68,90,68,68,68,90,90,68,68,90,68,90,68,68,90,68,68,90,68,68,90,68,90,90,68,68,68,68,68,90,68,90,68,90,68,68,68,90,90,68,68,68,68,68,68,68,90,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,90,90,68,68,68,90,90,68,68,68,90,68,68,90,68,68,68,68,90,68,68,68,90,90,68,90,68,68,68,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,68,68,68,68,68,68,68,90,90,90,68,68,68,68,68,68,90,90,90,90,68,68,90,68,68,90,68,68,90,68,68,68,68,68,68,90,90,90,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,90,68,68,68,68,68,68,68,90,90,68,68,90,68,90,68,68,68,68,90,68,68,68,68,68,68,68,68,68,90,68,68,90,90,90,68,68,68,68,90,90,68,68,90,68,68,68,68,68,68,68,90,90,68,68,90,68,68,90,68,68,68,90,68,68,90,90,68,68,68,90,68,68,90,68,90,68,90,90],
  [68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68],
  [135,113,90,113,113,90,90,113,90,113,113,113,90,90,90,113,113,90,90,113,113,135,90,113,113,90,113,113,90,90,113,90,113,113,113,113,113,90,113,113,90,113,113,135,113,90,90,135,113,90,90,113,113,90,90,90,113,90,113,113,113,113,113,90,135,90,90,90,113,113,90,90,90,113,113,90,90,90,113,113,90,90,113,135,90,113,135,90,113,90,90,113,90,113,90,113,113,113,113,90,90,90,113,113,90,135,113,113,113,113,113,90,90,90,90,90,113,113,90,113,90,113,90,113,113,113,113,90,90,113,113,113,113,113,135,135,113,113,113,135,90,113,135,90,90,113,113,113,90,90,113,90,113,113,113,135,135,90,90,113,90,90,113,113,113,113,90,113,113,113,90,113,113,113,90,113,90,113,113,113,135,90,90,135,113,113,113,90,113,90,135,113,113,113,90,113,113,113,113,113,113,113,113,113,135,113,113,90,90,90,113,135,90,90,113,90,90,113,90,113,90,113,113,135,90,90,113,113,113,135,90,90,90,113,90,90,135,113,90,90,90,113,113,90,113,90,113,113,113,135],
  [135,113,90,113,113,90,90,113,90,113,113,113,90,90,90,113,113,90,90,113,113,135,90,113,113,90,113,113,90,90,113,90,113,113,113,113,113,90,113,113,90,113,113,135,113,90,90,135,113,90,90,113,113,90,90,90,113,90,113,113,113,113,113,90,135,90,90,90,113,113,90,90,90,113,113,90,90,90,113,113,90,90,113,135,90,113,135,90,113,90,90,113,90,113,90,113,113,113,113,90,90,90,113,113,90,135,113,113,113,113,113,90,90,90,90,90,113,113,90,113,90,113,90,113,113,113,113,90,90,113,113,113,113,113,135,135,113,113,113,135,90,113,135,90,90,113,113,113,90,90,113,90,113,113,113,135,135,90,90,113,90,90,113,113,113,113,90,113,113,113,90,113,113,113,90,113,90,113,113,113,135,90,90,135,113,113,113,90,113,90,135,113,113,113,90,113,113,113,113,113,113,113,113,113,135,113,113,90,90,90,113,135,90,90,113,90,90,113,90,113,90,113,113,135,90,90,113,113,113,135,90,90,90,113,90,90,135,113,90,90,90,113,113,90,113,90,113,113,113,135],
  [90,68,68,68,90,68,68,68,68,90,68,90,68,68,68,90,90,68,68,90,68,90,68,68,90,68,68,90,68,68,90,68,90,90,68,68,68,68,68,90,68,90,68,90,68,68,68,90,90,68,68,68,68,68,68,68,90,68,90,68,68,68,68,68,90,68,68,68,90,90,68,68,68,90,90,68,68,68,90,90,68,68,68,90,68,68,90,68,68,68,68,90,68,68,68,90,90,68,90,68,68,68,68,68,68,90,68,68,68,68,68,68,68,68,68,68,90,68,68,68,68,68,68,68,90,90,90,68,68,68,68,68,68,90,90,90,90,68,68,90,68,68,90,68,68,90,68,68,68,68,68,68,90,90,90,90,90,68,68,90,68,68,90,68,68,68,68,68,68,68,68,90,68,68,68,68,68,68,68,90,90,68,68,90,68,90,68,68,68,68,90,68,68,68,68,68,68,68,68,68,90,68,68,90,90,90,68,68,68,68,90,90,68,68,90,68,68,68,68,68,68,68,90,90,68,68,90,68,68,90,68,68,68,90,68,68,90,90,68,68,68,90,68,68,90,68,90,68,90,90],
  [135,113,90,113,113,90,90,113,90,113,113,113,90,90,90,113,113,90,90,113,113,135,90,113,113,90,113,113,90,90,113,90,113,113,113,113,113,90,113,113,90,113,113,135,113,90,90,135,113,90,90,113,113,90,90,90,113,90,113,113,113,113,113,90,135,90,90,90,113,113,90,90,90,113,113,90,90,90,113,113,90,90,113,135,90,113,135,90,113,90,90,113,90,113,90,113,113,113,113,90,90,90,113,113,90,135,113,113,113,113,113,90,90,90,90,90,113,113,90,113,90,113,90,113,113,113,113,90,90,113,113,113,113,113,135,135,113,113,113,135,90,113,135,90,90,113,113,113,90,90,113,90,113,113,113,135,135,90,90,113,90,90,113,113,113,113,90,113,113,113,90,113,113,113,90,113,90,113,113,113,135,90,90,135,113,113,113,90,113,90,135,113,113,113,90,113,113,113,113,113,113,113,113,113,135,113,113,90,90,90,113,135,90,90,113,90,90,113,90,113,90,113,113,135,90,90,113,113,113,135,90,90,90,113,90,90,135,113,90,90,90,113,113,90,113,90,113,113,113,135],
  [68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68],
